Id,Action,Extension,Date,Name,"IP Address"
51,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 08:30:39 UTC","CCP User",Disabled
52,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 08:30:39 UTC","CCP User",Disabled
53,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Menus,"2023-11-28 08:32:12 UTC","CCP User",Disabled
54,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 08:33:14 UTC","CCP User",Disabled
55,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 08:33:14 UTC","CCP User",Disabled
56,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 08:33:43 UTC","CCP User",Disabled
57,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 08:33:43 UTC","CCP User",Disabled
58,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Menus,"2023-11-28 08:35:49 UTC","CCP User",Disabled
59,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 08:38:24 UTC","CCP User",Disabled
60,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 08:38:24 UTC","CCP User",Disabled
61,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 08:39:28 UTC","CCP User",Disabled
62,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 08:44:33 UTC","CCP User",Disabled
63,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 08:45:09 UTC","CCP User",Disabled
64,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:00:38 UTC","CCP User",Disabled
65,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:02:26 UTC","CCP User",Disabled
66,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:02:26 UTC","CCP User",Disabled
67,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:04:13 UTC","CCP User",Disabled
68,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:04:13 UTC","CCP User",Disabled
69,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:05:17 UTC","CCP User",Disabled
70,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:05:17 UTC","CCP User",Disabled
71,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:05:50 UTC","CCP User",Disabled
72,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:05:50 UTC","CCP User",Disabled
73,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:08:31 UTC","CCP User",Disabled
74,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:09:11 UTC","CCP User",Disabled
75,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:09:11 UTC","CCP User",Disabled
76,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:09:19 UTC","CCP User",Disabled
77,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:09:19 UTC","CCP User",Disabled
78,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:12:09 UTC","CCP User",Disabled
79,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:12:31 UTC","CCP User",Disabled
80,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:12:31 UTC","CCP User",Disabled
81,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:13:05 UTC","CCP User",Disabled
82,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:13:05 UTC","CCP User",Disabled
83,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:14:21 UTC","CCP User",Disabled
84,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:14:38 UTC","CCP User",Disabled
85,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:14:38 UTC","CCP User",Disabled
86,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:15:47 UTC","CCP User",Disabled
87,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:15:47 UTC","CCP User",Disabled
88,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:15:53 UTC","CCP User",Disabled
89,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:15:53 UTC","CCP User",Disabled
90,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:16:53 UTC","CCP User",Disabled
91,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:17:12 UTC","CCP User",Disabled
92,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:17:12 UTC","CCP User",Disabled
93,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:17:31 UTC","CCP User",Disabled
94,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:17:31 UTC","CCP User",Disabled
95,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:18:54 UTC","CCP User",Disabled
96,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:19:11 UTC","CCP User",Disabled
97,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:19:11 UTC","CCP User",Disabled
98,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:19:58 UTC","CCP User",Disabled
99,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:19:58 UTC","CCP User",Disabled
100,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:21:19 UTC","CCP User",Disabled
101,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:21:43 UTC","CCP User",Disabled
102,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:21:43 UTC","CCP User",Disabled
103,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:22:11 UTC","CCP User",Disabled
104,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:22:11 UTC","CCP User",Disabled
105,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:22:14 UTC","CCP User",Disabled
106,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 09:22:14 UTC","CCP User",Disabled
107,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 09:23:35 UTC","CCP User",Disabled
108,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:23:54 UTC","CCP User",Disabled
109,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:23:54 UTC","CCP User",Disabled
110,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:24:25 UTC","CCP User",Disabled
111,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:24:25 UTC","CCP User",Disabled
112,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:25:02 UTC","CCP User",Disabled
113,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:25:02 UTC","CCP User",Disabled
114,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:25:44 UTC","CCP User",Disabled
115,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 09:25:44 UTC","CCP User",Disabled
116,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:25:47 UTC","CCP User",Disabled
117,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:26:53 UTC","CCP User",Disabled
118,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 09:26:53 UTC","CCP User",Disabled
119,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:27:18 UTC","CCP User",Disabled
120,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:28:35 UTC","CCP User",Disabled
121,"User kupul-ca performed a check in to table #__menu",Check-in,"2023-11-28 09:28:35 UTC","CCP User",Disabled
122,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Menus,"2023-11-28 09:29:19 UTC","CCP User",Disabled
123,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:30:43 UTC","CCP User",Disabled
124,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:30:43 UTC","CCP User",Disabled
125,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:31:21 UTC","CCP User",Disabled
126,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:31:21 UTC","CCP User",Disabled
127,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:31:39 UTC","CCP User",Disabled
128,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:31:39 UTC","CCP User",Disabled
129,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:31:59 UTC","CCP User",Disabled
130,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:31:59 UTC","CCP User",Disabled
131,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:32:21 UTC","CCP User",Disabled
132,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:32:21 UTC","CCP User",Disabled
133,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:32:45 UTC","CCP User",Disabled
134,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:32:45 UTC","CCP User",Disabled
